x,v
-7.589858,205.898177
-6.090831,250.802279
-4.332123,285.013525
-2.388718,307.073331
-0.343470,316.041187
1.716421,311.534751
3.703134,293.746153
5.531965,263.433803
7.124943,221.890057
8.414151,170.886115
9.344626,112.596511
9.876696,49.506399
9.987677,-15.694399
9.672837,-80.226072
8.945600,-141.337338
7.836971,-196.422743
6.394215,-243.133741
4.678845,-279.478827
2.763994,-303.908444
0.731301,-315.381044
-1.332571,-313.407496
-3.339629,-298.071944
-5.204303,-270.028211
-6.847094,-230.471932
-8.197961,-181.089572
-9.199312,-123.986530
-9.808454,-61.597370
-9.999416,3.417968
-9.764057,68.287584
-9.112411,130.245785
-8.072261,186.651008
-6.687954,235.098438
-5.018508,273.522540
-3.135100,300.285115
-1.118029,314.245152
0.946710,314.807471
2.971086,301.948098
4.868790,276.215285
6.558916,238.706143
7.969405,191.019858
9.040122,135.189517
9.725416,73.595423
9.996071,8.863618
9.840548,-56.246084
9.265477,-118.957757
8.295375,-176.597712
6.971604,-226.708493
5.350601,-267.153647
3.501477,-296.208810
1.503070,-312.635227
-0.559421,-315.732564
-2.598061,-305.368767
-4.525933,-281.985693
-6.260845,-246.580270
-7.728827,-200.661993
-8.867294,-146.188572
-9.627708,-85.482458
-9.977647,-21.131833
-9.902194,44.119739
-9.404565,107.490283
-8.505976,166.278022
-7.244738,217.976562
-5.674623,260.381757
-3.862573,291.685679
-1.885843,310.553696
0.171288,316.181379
2.221117,308.328792
4.176249,287.330729
5.953329,254.082434
7.476590,210.001433
8.681090,156.967104
9.515476,97.240544
9.944173,33.368172
9.948903,-31.926839
9.529467,-95.860662
8.703745,-155.707503
7.506942,-208.915816
5.990084,-253.217085
4.217841,-286.722544
2.265773,-308.003699
0.217103,-316.153238
-1.840822,-310.823708
-3.820265,-292.242331
-5.636832,-261.201318
-7.213075,-219.024089
-8.481792,-167.508854
-9.388890,-108.851944
-9.895697,-45.554175
-9.980605,19.685778
-9.639994,84.086436
-8.888385,144.902102
-7.757823,199.539924
-6.296510,245.670439
-4.566748,281.326892
-2.642284,304.989084
-0.605167,315.648185
1.457751,312.849751
3.458518,296.713090
5.311832,267.926184
6.938679,227.716350
8.269698,177.797918
9.248141,120.299143
9.832294,57.671461
9.997251,-7.415022
9.735978,-72.185367
9.059617,-133.878118
7.997002,-189.863028
6.593438,-237.753203
4.908765,-275.506863
3.014809,-301.514396
0.992318,-314.666982
-1.072480,-314.403864
-3.091554,-300.736262
-4.978820,-274.246887
-6.653816,-236.065104
-8.045130,-187.818778
-9.093442,-131.564872
-9.754059,-69.701750
-9.998816,-4.866921
-9.817277,60.175408
-9.217182,122.652181
-8.224117,179.899727
-6.880419,229.477319
-5.243377,269.271236
-3.382786,297.584879
-1.377972,313.211108
0.685592,315.483704
2.719926,304.305777
4.638297,280.153893
6.358916,244.057757
7.808425,197.556315
8.925025,142.632137
9.661110,81.626894
9.985298,17.141521
9.883766,-48.074675
9.360844,-111.241225
8.438825,-169.665050
7.157021,-220.855272
5.570080,-262.629416
3.745661,-293.206459
1.761547,-311.282759
-0.297670,-316.087641
-2.344196,-307.416251
-4.290777,-285.638290
-6.054424,-251.682253
-7.559942,-206.995842
-8.743145,-153.484244
-9.553588,-93.428906
-9.956717,-29.390264
-9.935346,35.901421
-9.490384,99.662463
-8.640805,159.174436
-7.422827,211.900068
-5.888381,255.591425
-4.102885,288.385741
-2.142465,308.884845
-0.090702,316.214765
1.964929,310.062993
3.936785,290.691807
5.740798,258.927090
7.300055,216.123118
8.548076,164.104822
9.431654,105.089982
9.913117,41.594671
9.971938,-23.674012
9.605609,-87.933362
8.829749,-148.443709
7.677436,-202.625216
6.197799,-248.167877
4.453921,-283.129998
2.520151,-306.020983
0.478936,-315.864883
-1.582698,-312.242009
-3.576854,-295.306819
-5.418513,-265.781339
-7.029156,-224.924376
-8.340113,-174.477851
-9.295493,-116.592531
-9.854563,-53.736334
-9.993488,11.410890
-9.706344,76.071615
-9.005374,137.489057
-7.920464,193.044707
-6.497867,240.369972
-4.798237,277.447157
-2.894036,302.695492
-0.866449,315.038524
1.198080,313.950012
3.211528,299.476365
5.088054,272.234661
6.747653,233.386339
8.119568,184.587682
9.145309,127.919202
9.781143,65.796937
9.999962,0.869445
9.792437,-64.095115
9.167415,-126.327005
8.151543,-183.172992
6.788134,-232.209472
5.135316,-271.345791
3.263555,-298.913390
1.252654,-313.736934
-0.811654,-315.184426
-2.841357,-303.194155
-4.749920,-278.277320
-6.455972,-241.496241
-7.886776,-194.419065
-8.981330,-139.052908
-9.692969,-77.758286
-9.991352,-13.148469
-9.863758,52.021928
-9.315626,114.974390
-8.370327,173.024964
-7.068161,223.698687
-5.464648,264.835104
-3.628151,294.680381
-1.636969,311.962076
0.424004,315.943390
2.466900,306.454582
4.404620,283.900203
6.154552,249.241851
7.642086,203.957170
8.803803,149.976856
9.590173,89.602337
9.967671,25.407658
9.920200,-39.870267
9.449786,-103.448338
8.576483,-162.615930
7.337526,-214.850456
5.785736,-257.924917
3.987274,-290.002851
2.018815,-309.716627
-0.035714,-316.225757
-2.088721,-309.252726
-4.052676,-289.094826
-5.843847,-256.611482
-7.385868,-213.187609
-8.612995,-160.674565
-9.472911,-101.311225
-9.928953,-37.628520
-9.961677,27.658462
-9.569690,91.766236
-8.769702,151.961592
-7.595822,205.678127
-6.098097,250.625654
-4.340382,284.887856
-2.397616,307.003976
-0.352629,316.031102
1.707392,311.584367
3.694619,293.853354
5.524328,263.594019
7.118509,222.096457
8.409195,171.129899
9.341359,112.867286
9.875257,49.792620
9.988128,-15.404934
9.675158,-79.945705
8.949693,-141.078023
7.842660,-196.195534
6.401259,-242.948326
4.686943,-279.343112
2.772800,-303.828214
0.740441,-315.359719
-1.323487,-313.445987
-3.330989,-298.168608
-5.196475,-270.178928
-6.840411,-230.670276
-8.192710,-181.327087
-9.195715,-124.253089
-9.806665,-61.881609
-9.999511,3.128169
-9.766032,68.004578
-9.116182,129.981639
-8.077668,186.416984
-6.694765,234.904514
-5.026433,273.376983
-3.143802,300.194131
-1.127135,314.212621
0.937586,314.834779
2.962334,302.034080
4.860783,276.356276
6.551995,238.896132
7.963866,191.250745
9.036200,135.451457
9.723279,73.877250
9.995810,9.153316
9.842174,-55.960867
9.268920,-118.689180
8.300490,-176.357227
6.978172,-226.506352
5.358341,-266.998469
3.510061,-296.107210
1.512130,-312.591537
-0.550270,-315.748647
-2.589210,-305.443937
-4.517759,-282.116745
-6.253696,-246.761617
-7.723008,-200.885904
-8.863054,-146.445499
-9.625226,-85.761449
-9.977031,-21.420992
-9.903469,43.832740
-9.407676,107.217680
-8.510791,166.031437
-7.251052,217.766509
-5.682167,260.217191
-3.871025,291.573615
-1.894843,310.498914
0.162125,316.186213
2.212180,308.393037
4.167920,287.451645
5.945962,254.254865
7.470501,210.218030
8.676538,157.218631
9.512654,97.516277
9.943201,33.656356
9.949825,-31.638491
9.532241,-95.584444
8.708254,-155.455191
7.512994,-208.698167
5.997421,-253.043379
4.226149,-286.600186
2.274698,-307.937907
0.226266,-316.146816
-1.831813,-310.876930
-3.811794,-292.352928
-5.629260,-261.364574
-7.206724,-219.233044
-8.476933,-167.754600
-9.385732,-109.124004
-9.894373,-45.840949
-9.981171,19.396517
-9.642427,83.807020
-8.892581,144.644443
-7.763603,199.315008
-6.303627,245.487855
-4.574899,281.194425
-2.651122,304.912381
-0.614315,315.630517
1.448683,312.891870
3.449917,296.813201
5.304065,268.080018
6.932077,227.917349
8.264542,178.037514
9.244651,120.567119
9.830619,57.956392
9.997461,-7.125283
9.738067,-71.903174
9.063493,-133.615501
8.002501,-189.631185
6.600325,-237.562017
4.916747,-275.364486
3.023546,-301.426898
1.001437,-314.638093
-1.063368,-314.434817
-3.082837,-300.825736
-4.970870,-274.391068
-6.646972,-236.257844
-8.039683,-188.051860
-9.089625,-131.828360
-9.752035,-69.984408
-9.998671,-5.156699
-9.819017,59.890863
-9.220733,122.385003
-8.229327,179.661306
-6.887067,229.277819
-5.251179,269.119163
-3.391410,297.486718
-1.387049,313.171043
0.676449,315.503444
2.711106,304.384479
4.630176,280.288202
6.351840,244.241948
7.802697,197.782534
8.920888,142.890739
9.658741,81.906854
9.984797,17.430903
9.885155,-47.788208
9.364064,-110.969888
8.443739,-169.420410
7.163419,-220.647760
5.577689,-262.467879
3.754157,-293.097783
1.770568,-311.231578
-0.288509,-316.096138
-2.335285,-307.484063
-4.282497,-285.762526
-6.047127,-251.857616
-7.553940,-207.214855
-8.738694,-153.737571
-9.550876,-93.705745
-9.955861,-29.678812
-9.936382,35.613465
-9.493269,99.387376
-8.645414,158.923946
-7.428965,211.684856
-5.895786,255.420665
-4.111242,288.266714
-2.151416,308.822626
-0.099866,316.212006
1.955942,310.119812
3.928359,290.805781
5.733292,259.093360
7.293788,216.334596
8.543317,164.352491
9.428605,105.363282
9.911907,41.881952
9.972620,-23.385000
9.608154,-87.654941
8.834048,-148.187748
7.683305,-202.402629
6.204988,-247.988153
4.462124,-283.000800
2.529019,-305.947819
0.488090,-315.850873
-1.573648,-312.287749
-3.568294,-295.410360
-5.410808,-265.938266
-7.022634,-225.127999
-8.335053,-174.719488
-9.292110,-116.861881
-9.853002,-54.021913
-9.993814,11.121258
-9.708545,75.790279
-9.009355,137.228010
-7.926055,192.815080
-6.504831,240.181554
-4.806276,277.307982
-2.902807,302.611494
-0.875578,315.013283
1.188980,313.984605
3.202847,299.569317
5.080162,272.382008
6.740886,233.581800
8.114216,184.822923
9.141598,128.184194
9.779233,66.080382
9.999933,1.159259
9.794290,-63.811288
9.171072,-126.061267
8.156849,-182.936672
